indicator,name,username
1.1.1,Brian Glassman (Census),bglassman15910
1.2.1,Brian Glassman (Census),bglassman15910
1.3.1,Neil Veenis (ORES),
1.5.2,Andrew Craig (BEA),andrew-craig-bea
2.1.2,Ephriam Leibtag (ERS),eleibtag
2.2.1,Amy Branum (NCHS),jhmadans
2.2.2,Amy Branum (NCHS),jhmadans
3.1.2,Amy Branum (NCHS),ambranu
3.2.1,Amy Branum (NCHS),ambranu
3.2.2,Amy Branum (NCHS),ambranu
3.3.1,Benedict I. Truman (CDC/OID/NCHHSTP) ,BTruman
3.3.2,Benedict I. Truman (CDC/OID/NCHHSTP) ,BTruman
3.3.4,Benedict I. Truman (CDC/OID/NCHHSTP) ,BTruman
3.4.1,Amy Branum (NCHS),ambranu
3.4.2,Amy Branum (NCHS),ambranu
3.5.2,Peter Tice (SAMHSA),
3.6.1,Amy Branum (NCHS),ambranu
3.7.1,Amy Branum (NCHS),ambranu
3.7.2,Amy Branum (NCHS),ambranu
3.9.3,Amy Branum (NCHS),ambranu
3.a.1,Amy Branum (NCHS),ambranu
3.c.1,George Zangaro (HRSA),yjoon1
4.1.1,Tom Snyder (NCES),Snyder1789
4.2.1,Tom Snyder (NCES),Snyder1789
4.2.2,Tom Snyder (NCES),Snyder1789
4.3.1,Tom Snyder (NCES),Snyder1789
4.4.1,Tom Snyder (NCES),Snyder1789
4.5.1,Tom Snyder (NCES),Snyder1789
4.6.1,Tom Snyder (NCES),Snyder1789
4.7.1,Tom Snyder (NCES),Snyder1789
4.b.1,"Kimberly Smith, PPL/DE (USAID)",smithkimberj
4.c.1,Tom Snyder (NCES),Snyder1789
5.2.1,Samuel Berhanu (FBI),lasimmons
5.4.1,Mark Dumas (BLS),mwdumas
5.5.2,Marcella Puthoff‐Jones (Census),Jones-Puthoff
5.b.1,Jamie Lewis (Census),lewis410
6.1.1,Travis Cummings (EPA),OGWDW2115
6.5.1,Nicole Norris (NASS),nicolenorris
7.1.1,David Vandenbroucke (HUD),Davanden
7.2.1,Maggie Woodward (EIA),maggiewoodward
7.3.1,Maggie Woodward (EIA),maggiewoodward
8.1.1,Andrew Craig (BEA),andrew-craig-bea
8.2.1,Mark Dumas (BLS),mwdumas
8.4.2,Andrew Craig (BEA),andrew-craig-bea
8.5.1,Mark Dumas (BLS),mwdumas
8.5.2,Mark Dumas (BLS),mwdumas
8.6.1,Mark Dumas (BLS),mwdumas
8.8.1,Mark Dumas (BLS),mwdumas
8.10.1,Faye Ann Jacobs (CENSUS/EWD FED),
8.10.2,Rebecca L Chenevert (CENSUS/SEHSD FED),
8.a.1,"Kimberly Smith, PPL/DE (USAID)",smithkimberj
9.1.2,Steve Beningo (BTS),sbeningo
9.2.1,Andrew Craig (BEA),andrew-craig-bea
9.2.2,Mark Dumas (BLS),mwdumas
9.4.1,Maggie Woodward (EIA),maggiewoodward
9.5.1,Mark Boroush (NCSES),mboroush
10.1.1,Brian Glassman (Census),bglassman15910
10.4.1,Brian Glassman (Census),bglassman15910
11.1.1,David Vandenbroucke (HUD),Davanden
11.5.2,Andrew Craig (BEA),andrew-craig-bea
11.6.2,David Mintz (EPA),dmintzepa
11.b.2,,
12.2.2,Andrew Craig (BEA),andrew-craig-bea
13.1.1,,
13.2.1,,
13.3.1,,
13.3.2,,
13.b.1,,
14.4.1,Karen Green (NOAA),
14.5.1,Mimi D’Iorio (NOAA),mimidiorio
14.6.1,Karen Green (NOAA),
14.c.1,,
15.1.1,Nicole Norris (NASS),nicolenorris
16.1.1,Samuel Berhanu (FBI),lasimmons
16.1.4,Allen Beck (BJS),becka1
16.2.2,Samuel Berhanu (FBI),lasimmons
16.3.1,Allen Beck (BJS),becka1
16.3.2,Allen Beck (BJS),becka1
16.9.1,Jennifer Madans (NCHS),jhmadans
17.1.1,Andrew Craig (BEA),andrew-craig-bea
17.3.2,Andrew Craig (BEA),andrew-craig-bea
17.4.1,Andrew Craig (BEA),andrew-craig-bea
17.6.2,Ellen Burton (FCC),
17.8.1,Jamie Lewis (Census),lewis410
17.18.2,Jennifer Park (OMB),jenpark9
17.18.3,Jennifer Park (OMB),jenpark9
17.19.2,Jennifer Madans (NCHS),jhmadans
