year,manuf_emplmnt_mill,tot_us_economy_emplmnt_mill,manuf_emplmnt_as_pct_of_tot_us_economy_emplmnt
2000,17.66,147.982,11.9
2001,16.841,147.66,11.4
2002,15.626,146.018,10.7
2003,14.892,146.081,10.2
2004,14.686,147.699,9.9
2005,14.61,150.058,9.7
2006,14.525,152.553,9.5
2007,14.278,153.873,9.3
2008,13.769,152.785,9.0
2009,12.22,146.405,8.3
2010,11.878,145.11,8.2
2011,12.037,146.651,8.2
2012,12.265,148.903,8.2
2013,12.342,150.822,8.2
2014,12.506,153.559,8.1
2015,12.663,156.688,8.1
2016,12.663,159.267,8.0
2017,12.788,161.453,7.9
