year,total,sex:male,sex:female,ses:low quintile,ses:middle low quintile,ses:middle quintile,ses:middle high quintile,ses:high quintile
2000,93.997,93.231,94.813,91.313,89.940,93.941,95.549,97.852
2001,93.097,92.969,93.228,91.155,90.502,93.171,94.476,95.025
2002,93.563,94.292,92.797,94.597,93.547,92.508,91.203,96.236
2003,91.894,92.890,90.936,89.153,87.978,93.552,91.548,95.400
2004,93.088,93.392,92.760,88.331,93.869,92.771,94.072,95.297
2005,93.409,92.875,93.984,92.303,87.948,92.981,95.270,96.623
2006,92.603,92.570,92.637,90.213,89.283,92.911,91.891,97.242
2007,92.390,91.097,93.731,86.476,91.646,94.729,92.919,95.048
2008,90.980,91.168,90.782,88.067,89.098,91.561,92.437,92.784
2009,91.533,90.435,92.687,89.575,89.559,91.739,91.871,94.306
2010,92.377,91.833,92.949,89.393,91.404,89.684,94.620,95.479
2011,92.576,92.616,92.533,91.571,90.569,92.094,91.141,96.354
2012,89.798,89.392,90.210,84.552,90.220,90.211,88.854,94.151
2013,90.260,90.622,89.862,91.234,89.202,89.121,88.574,92.862
2014,90.714,91.555,89.852,91.377,87.880,91.457,91.344,91.117
2015,90.955,90.002,91.961,88.737,92.879,91.413,88.191,92.512
2016,90.122,89.689,90.588,88.475,89.198,89.217,89.547,93.493
2017,,,,,,,,
