year,natstat_plan,funding1
2000,yes,National government
2001,yes,National government
2002,yes,National government
2003,yes,National government
2004,yes,National government
2005,yes,National government
2006,yes,National government
2007,yes,National government
2008,yes,National government
2009,yes,National government
2010,yes,National government
2011,yes,National government
2012,yes,National government
2013,yes,National government
2014,yes,National government
2015,yes,National government
