,tot_proportion_belownatpov_line,male,female,under_18_years,18_64_years,65andover_years,Note
2000,11.3,9.9,12.6,16.2,9.6,9.9,"Implementation of 2000 Census-based population controls and a 28,000 household sample expansion"
2001,11.7,10.4,12.9,16.3,10.1,10.1,
2002,12.1,10.9,13.3,16.7,10.6,10.4,
2003,12.5,11.2,13.7,17.6,10.8,10.2,
2004,12.7,11.5,13.9,17.8,11.3,9.8,Revised to reflect a correction to the weights in the 2005 CPS ASEC
2005,12.6,11.1,14.1,17.6,11.1,10.1,
2006,12.3,11.0,13.6,17.4,10.8,9.4,
2007,12.5,11.1,13.8,18.0,10.9,9.7,
2008,13.2,12.0,14.4,19.0,11.7,9.7,
2009,14.3,13.0,15.6,20.7,12.9,8.9,
2010,15.1,14.0,16.3,22.0,13.8,8.9,Implementation of 2010 Census-based population controls
2011,15.0,13.6,16.3,21.9,13.7,8.7,
2012,15.0,13.6,16.3,21.8,13.7,9.1,
2013,14.8,13.2,16.3,21.5,13.3,10.2,redesigned income questions
2014,14.8,13.4,16.1,21.1,13.5,10.0,
2015,13.5,12.2,14.8,19.7,12.4,8.8,
2016,12.7,11.3,14.0,18.0,11.6,9.3,
2017,,,,,,,
