year,tot_new_hiv_dgnss_per_100000_pop_all_age,male_13_pls_y,female_13_pls_y,13_24_y,25_34_y,35_44_y,45_54_y,black_nh,white_nh,hispanic
2000,,,,,,,,,,
2001,,,,,,,,,,
2002,,,,,,,,,,
2003,,,,,,,,,,
2004,,,,,,,,,,
2005,,,,,,,,,,
2006,,,,,,,,,,
2007,,,,,,,,,,
2008,19.2,29.8,9.1,17.0,31.1,30.7,21.8,75.9,7.7,28.1
2009,18.1,28.5,8.1,17.4,29.4,28.1,20.1,70.5,7.2,26.5
2010,17.1,27.3,7.3,17.7,28.8,25.2,18.7,66.1,6.9,24.0
2011,16.2,26.2,6.7,17.5,27.9,22.8,17.8,61.7,6.6,23.0
2012,15.7,25.7,6.2,17.4,28.2,21.2,17.0,58.4,6.6,22.4
2013,15.0,24.6,5.7,16.7,27.6,19.6,15.8,55.0,6.3,21.5
2014,15.0,24.9,5.6,17.3,29.0,19.9,15.1,54.9,6.3,22.1
2015,14.7,24.4,5.4,16.9,29.3,18.8,14.6,53.8,6.1,21.5
2016,,,,,,,,,,
2017,,,,,,,,,,
