year,var_1,gov_tot,health,educ,inc_sec
2000,0.39,1834.40,109.70,536.00,64.90
2001,0.39,1958.80,116.00,574.10,71.10
2002,0.38,2094.90,127.00,592.90,79.60
2003,0.38,2220.80,139.40,616.60,81.60
2004,0.37,2357.40,146.40,652.30,81.90
2005,0.37,2493.70,158.80,685.60,87.80
2006,0.37,2642.20,163.40,727.50,96.90
2007,0.37,2801.90,179.70,775.60,91.00
2008,0.37,3003.20,197.70,816.30,92.80
2009,0.37,3089.10,205.20,827.80,94.80
2010,0.36,3174.00,214.30,830.40,96.20
2011,0.36,3168.70,222.60,831.80,92.80
2012,0.37,3158.60,228.20,833.30,92.30
2013,0.38,3116.10,228.80,844.30,95.80
2014,0.38,3152.10,236.60,868.00,98.50
2015,0.39,3218.30,244.50,898.70,99.70
2016,,,,,
