year,pctschools_elec,pctschools_internet,pctschools_comp,pctschools_inframat_disab,pctschools_single_sanit,pctschools_hand_wash
2000,100,100,100,100,100,100
2001,100,100,100,100,100,100
2002,100,100,100,100,100,100
2003,100,100,100,100,100,100
2004,100,100,100,100,100,100
2005,100,100,100,100,100,100
2006,100,100,100,100,100,100
2007,100,100,100,100,100,100
2008,100,100,100,100,100,100
2009,100,100,100,100,100,100
2010,100,100,100,100,100,100
2011,100,100,100,100,100,100
2012,100,100,100,100,100,100
2013,100,100,100,100,100,100
2014,100,100,100,100,100,100
2015,100,100,100,100,100,100
2016,,,,,,
