year,crnt_rcpts,crnt_tx_rcpts,ctrbtns_govt_soc_ins,inc_rcpts_asts,crnt_trnsfr_rcpts,crnt_srpls_govt_entrprs
2000,30.51,21.46,6.90,1.16,0.89,0.10
2001,29.40,20.41,6.94,1.09,0.92,0.05
2002,27.07,18.28,6.88,0.91,0.94,0.06
2003,26.48,17.85,6.80,0.85,0.95,0.03
2004,26.64,18.06,6.79,0.83,0.98,-0.01
2005,28.02,19.52,6.71,0.88,0.96,-0.05
2006,28.93,20.34,6.69,0.98,0.98,-0.07
2007,29.07,20.47,6.67,1.05,0.99,-0.11
2008,27.97,19.36,6.75,0.95,1.06,-0.14
2009,25.66,16.92,6.72,0.95,1.22,-0.14
2010,26.31,17.76,6.61,0.92,1.17,-0.15
2011,26.63,18.83,5.94,0.87,1.14,-0.16
2012,26.69,19.05,5.92,0.79,1.05,-0.12
2013,28.91,19.80,6.65,1.43,1.15,-0.13
2014,28.88,20.21,6.66,0.86,1.25,-0.10
2015,29.03,20.48,6.70,0.69,1.24,-0.08
2016,28.53,20.02,6.71,0.67,1.17,-0.05
